bee_id,group,trial,choice,block
19,LR,27,0,30
19,LR,28,1,30
19,LR,29,1,30
19,LR,30,0,30
19,LR,31,0,40
19,LR,32,1,40
19,LR,33,0,40
19,LR,34,0,40
19,LR,35,0,40
19,LR,36,1,40
19,LR,37,1,40
19,LR,38,1,40
19,LR,39,0,40
19,LR,40,0,40
20,RL,1,1,10
20,RL,2,1,10
20,RL,3,0,10
20,RL,4,1,10
20,RL,5,1,10
20,RL,6,0,10
20,RL,7,0,10
20,RL,8,1,10
20,RL,9,0,10
20,RL,10,0,10
20,RL,11,1,20
20,RL,12,1,20
20,RL,13,1,20
20,RL,14,0,20
20,RL,15,1,20
20,RL,16,1,20
20,RL,17,1,20
20,RL,18,0,20
20,RL,19,0,20
20,RL,20,1,20
20,RL,21,0,30
20,RL,22,1,30
20,RL,23,1,30
20,RL,24,0,30
20,RL,25,0,30
20,RL,26,1,30
20,RL,27,1,30
20,RL,28,1,30
20,RL,29,1,30
20,RL,30,0,30
20,RL,31,1,40
20,RL,32,1,40
20,RL,33,1,40
20,RL,34,1,40
20,RL,35,1,40
20,RL,36,1,40
20,RL,37,1,40
20,RL,38,1,40
20,RL,39,1,40
20,RL,40,1,40
21,LR,1,1,10
21,LR,2,1,10
21,LR,3,0,10
21,LR,4,0,10
21,LR,5,1,10
21,LR,6,1,10
21,LR,7,0,10
21,LR,8,1,10
21,LR,9,0,10
21,LR,10,0,10
21,LR,11,1,20
21,LR,12,0,20
21,LR,13,0,20
21,LR,14,0,20
21,LR,15,1,20
21,LR,16,0,20
21,LR,17,1,20
21,LR,18,1,20
21,LR,19,1,20
21,LR,20,1,20
21,LR,21,1,30
21,LR,22,0,30
21,LR,23,1,30
21,LR,24,0,30
21,LR,25,1,30
21,LR,26,0,30
21,LR,27,0,30
21,LR,28,1,30
21,LR,29,1,30
21,LR,30,0,30
21,LR,31,1,40
21,LR,32,1,40
21,LR,33,0,40
21,LR,34,1,40
21,LR,35,0,40
21,LR,36,1,40
21,LR,37,1,40
21,LR,38,1,40
21,LR,39,0,40
21,LR,40,1,40
22,RL,1,0,10
22,RL,2,0,10
22,RL,3,1,10
22,RL,4,0,10
22,RL,5,1,10
22,RL,6,1,10
22,RL,7,0,10
22,RL,8,0,10
22,RL,9,1,10
22,RL,10,0,10
22,RL,11,1,20
22,RL,12,0,20
22,RL,13,0,20
22,RL,14,0,20
22,RL,15,1,20
22,RL,16,0,20
22,RL,17,0,20
22,RL,18,0,20
22,RL,19,1,20
22,RL,20,1,20
22,RL,21,0,30
22,RL,22,1,30
22,RL,23,1,30
22,RL,24,1,30
22,RL,25,1,30
22,RL,26,0,30
22,RL,27,0,30
22,RL,28,1,30
22,RL,29,1,30
22,RL,30,0,30
22,RL,31,0,40
22,RL,32,1,40
22,RL,33,1,40
22,RL,34,0,40
22,RL,35,1,40
22,RL,36,0,40
22,RL,37,1,40
22,RL,38,0,40
22,RL,39,0,40
22,RL,40,1,40
23,LR,1,1,10
23,LR,2,1,10
23,LR,3,0,10
23,LR,4,0,10
23,LR,5,0,10
23,LR,6,0,10
23,LR,7,0,10
23,LR,8,1,10
23,LR,9,0,10
23,LR,10,1,10
23,LR,11,1,20
23,LR,12,1,20
23,LR,13,1,20
23,LR,14,0,20
23,LR,15,1,20
23,LR,16,1,20
23,LR,17,1,20
23,LR,18,0,20
23,LR,19,0,20
23,LR,20,0,20
23,LR,21,0,30
23,LR,22,1,30
23,LR,23,1,30
23,LR,24,1,30
23,LR,25,0,30
23,LR,26,1,30
23,LR,27,1,30
23,LR,28,0,30
23,LR,29,1,30
23,LR,30,1,30
23,LR,31,0,40
23,LR,32,1,40
23,LR,33,1,40
23,LR,34,1,40
23,LR,35,1,40
23,LR,36,0,40
23,LR,37,1,40
23,LR,38,0,40
23,LR,39,0,40
23,LR,40,1,40
24,RL,1,1,10
24,RL,2,1,10
24,RL,3,1,10
24,RL,4,1,10
24,RL,5,0,10
24,RL,6,0,10
24,RL,7,1,10
24,RL,8,1,10
24,RL,9,0,10
24,RL,10,0,10
24,RL,11,0,20
24,RL,12,1,20
24,RL,13,0,20
24,RL,14,1,20
24,RL,15,0,20
24,RL,16,1,20
